Model Params: 198.42M-A63.94M
Trainable Params: 198.417M
Generating train split: 0 examples [00:00, ? examples/s]Generating train split: 14681 examples [00:00, 113420.96 examples/s]Generating train split: 29345 examples [00:00, 125324.95 examples/s]Generating train split: 44005 examples [00:00, 126935.50 examples/s]Generating train split: 58665 examples [00:00, 129196.17 examples/s]Generating train split: 73348 examples [00:00, 132197.73 examples/s]Generating train split: 103996 examples [00:00, 168564.51 examples/s]Generating train split: 146956 examples [00:00, 214902.03 examples/s]Generating train split: 184233 examples [00:00, 231205.11 examples/s]Generating train split: 221325 examples [00:01, 226193.05 examples/s]Generating train split: 253164 examples [00:01, 223370.21 examples/s]Generating train split: 279711 examples [00:01, 222687.88 examples/s]Generating train split: 306302 examples [00:01, 222522.06 examples/s]Generating train split: 338252 examples [00:01, 223307.99 examples/s]Generating train split: 370173 examples [00:01, 226728.35 examples/s]Generating train split: 402284 examples [00:01, 228962.39 examples/s]Generating train split: 434341 examples [00:02, 231428.31 examples/s]Generating train split: 461223 examples [00:02, 227723.71 examples/s]Generating train split: 493388 examples [00:02, 226258.88 examples/s]Generating train split: 520059 examples [00:02, 223015.50 examples/s]Generating train split: 547894 examples [00:02, 206375.68 examples/s]Generating train split: 571655 examples [00:02, 191503.10 examples/s]Generating train split: 598729 examples [00:02, 185561.29 examples/s]Generating train split: 618812 examples [00:03, 185057.08 examples/s]Generating train split: 649681 examples [00:03, 191477.01 examples/s]Generating train split: 670182 examples [00:03, 191959.76 examples/s]Generating train split: 690828 examples [00:03, 193815.57 examples/s]Generating train split: 722117 examples [00:03, 201993.88 examples/s]Generating train split: 753534 examples [00:03, 208600.41 examples/s]Generating train split: 786261 examples [00:03, 214906.42 examples/s]Generating train split: 823095 examples [00:03, 235083.50 examples/s]Generating train split: 861284 examples [00:04, 257552.05 examples/s]Generating train split: 899359 examples [00:04, 285198.65 examples/s]Generating train split: 905718 examples [00:04, 210500.97 examples/s]
Epoch:[1/2](3200/56608), loss: 1.7624, logits_loss: 1.7584, aux_loss: 0.0040, lr: 0.00000998, epoch_time: 199.0min
Epoch:[1/2](3300/56608), loss: 1.9050, logits_loss: 1.9010, aux_loss: 0.0040, lr: 0.00000998, epoch_time: 198.0min
Epoch:[1/2](3400/56608), loss: 1.7328, logits_loss: 1.7288, aux_loss: 0.0040, lr: 0.00000998, epoch_time: 198.0min
Epoch:[1/2](3500/56608), loss: 1.6951, logits_loss: 1.6911, aux_loss: 0.0040, lr: 0.00000998, epoch_time: 197.0min
Epoch:[1/2](3600/56608), loss: 1.7254, logits_loss: 1.7214, aux_loss: 0.0040, lr: 0.00000998, epoch_time: 197.0min
Epoch:[1/2](3700/56608), loss: 1.8109, logits_loss: 1.8069, aux_loss: 0.0040, lr: 0.00000998, epoch_time: 196.0min
Epoch:[1/2](3800/56608), loss: 1.9006, logits_loss: 1.8966, aux_loss: 0.0040, lr: 0.00000998, epoch_time: 196.0min
Epoch:[1/2](3900/56608), loss: 1.8582, logits_loss: 1.8542, aux_loss: 0.0040, lr: 0.00000997, epoch_time: 195.0min
Epoch:[1/2](4000/56608), loss: 1.8395, logits_loss: 1.8355, aux_loss: 0.0040, lr: 0.00000997, epoch_time: 195.0min
Epoch:[1/2](4100/56608), loss: 1.8236, logits_loss: 1.8196, aux_loss: 0.0040, lr: 0.00000997, epoch_time: 195.0min
Epoch:[1/2](4200/56608), loss: 1.8303, logits_loss: 1.8263, aux_loss: 0.0040, lr: 0.00000997, epoch_time: 195.0min
Epoch:[1/2](4300/56608), loss: 1.7719, logits_loss: 1.7679, aux_loss: 0.0040, lr: 0.00000997, epoch_time: 194.0min
Epoch:[1/2](4400/56608), loss: 1.6177, logits_loss: 1.6137, aux_loss: 0.0040, lr: 0.00000997, epoch_time: 194.0min
Epoch:[1/2](4500/56608), loss: 1.8304, logits_loss: 1.8264, aux_loss: 0.0040, lr: 0.00000996, epoch_time: 193.0min
Epoch:[1/2](4600/56608), loss: 1.9490, logits_loss: 1.9450, aux_loss: 0.0040, lr: 0.00000996, epoch_time: 193.0min
Epoch:[1/2](4700/56608), loss: 1.9613, logits_loss: 1.9573, aux_loss: 0.0040, lr: 0.00000996, epoch_time: 192.0min
Epoch:[1/2](4800/56608), loss: 1.7146, logits_loss: 1.7106, aux_loss: 0.0040, lr: 0.00000996, epoch_time: 192.0min
Epoch:[1/2](4900/56608), loss: 1.9011, logits_loss: 1.8971, aux_loss: 0.0040, lr: 0.00000996, epoch_time: 191.0min
Epoch:[1/2](5000/56608), loss: 1.8112, logits_loss: 1.8072, aux_loss: 0.0040, lr: 0.00000996, epoch_time: 191.0min
Epoch:[1/2](5100/56608), loss: 1.7620, logits_loss: 1.7580, aux_loss: 0.0040, lr: 0.00000996, epoch_time: 190.0min
Epoch:[1/2](5200/56608), loss: 1.7083, logits_loss: 1.7043, aux_loss: 0.0040, lr: 0.00000995, epoch_time: 190.0min
Epoch:[1/2](5300/56608), loss: 1.7834, logits_loss: 1.7794, aux_loss: 0.0040, lr: 0.00000995, epoch_time: 189.0min
Epoch:[1/2](5400/56608), loss: 1.7509, logits_loss: 1.7469, aux_loss: 0.0040, lr: 0.00000995, epoch_time: 189.0min
Epoch:[1/2](5500/56608), loss: 1.7785, logits_loss: 1.7745, aux_loss: 0.0040, lr: 0.00000995, epoch_time: 188.0min
Epoch:[1/2](5600/56608), loss: 1.8873, logits_loss: 1.8833, aux_loss: 0.0040, lr: 0.00000995, epoch_time: 187.0min
Epoch:[1/2](5700/56608), loss: 1.8760, logits_loss: 1.8720, aux_loss: 0.0040, lr: 0.00000994, epoch_time: 187.0min
Epoch:[1/2](5800/56608), loss: 1.7741, logits_loss: 1.7701, aux_loss: 0.0040, lr: 0.00000994, epoch_time: 186.0min
Epoch:[1/2](5900/56608), loss: 1.8622, logits_loss: 1.8582, aux_loss: 0.0040, lr: 0.00000994, epoch_time: 186.0min
Epoch:[1/2](6000/56608), loss: 1.7304, logits_loss: 1.7264, aux_loss: 0.0040, lr: 0.00000994, epoch_time: 185.0min
Epoch:[1/2](6100/56608), loss: 1.7357, logits_loss: 1.7317, aux_loss: 0.0040, lr: 0.00000994, epoch_time: 185.0min
Epoch:[1/2](6200/56608), loss: 1.7340, logits_loss: 1.7300, aux_loss: 0.0040, lr: 0.00000993, epoch_time: 184.0min
Epoch:[1/2](6300/56608), loss: 1.7861, logits_loss: 1.7821, aux_loss: 0.0040, lr: 0.00000993, epoch_time: 184.0min
Epoch:[1/2](6400/56608), loss: 1.8279, logits_loss: 1.8239, aux_loss: 0.0040, lr: 0.00000993, epoch_time: 183.0min
Epoch:[1/2](6500/56608), loss: 1.7895, logits_loss: 1.7855, aux_loss: 0.0040, lr: 0.00000993, epoch_time: 183.0min
Epoch:[1/2](6600/56608), loss: 1.8983, logits_loss: 1.8943, aux_loss: 0.0040, lr: 0.00000992, epoch_time: 182.0min
Epoch:[1/2](6700/56608), loss: 1.9757, logits_loss: 1.9717, aux_loss: 0.0040, lr: 0.00000992, epoch_time: 182.0min
Epoch:[1/2](6800/56608), loss: 1.9257, logits_loss: 1.9217, aux_loss: 0.0040, lr: 0.00000992, epoch_time: 181.0min
Epoch:[1/2](6900/56608), loss: 1.8608, logits_loss: 1.8568, aux_loss: 0.0040, lr: 0.00000992, epoch_time: 181.0min
Epoch:[1/2](7000/56608), loss: 1.7601, logits_loss: 1.7561, aux_loss: 0.0040, lr: 0.00000992, epoch_time: 180.0min
Epoch:[1/2](7100/56608), loss: 1.8158, logits_loss: 1.8118, aux_loss: 0.0040, lr: 0.00000991, epoch_time: 180.0min
Epoch:[1/2](7200/56608), loss: 1.6098, logits_loss: 1.6058, aux_loss: 0.0040, lr: 0.00000991, epoch_time: 179.0min
Epoch:[1/2](7300/56608), loss: 1.7975, logits_loss: 1.7935, aux_loss: 0.0040, lr: 0.00000991, epoch_time: 179.0min
Epoch:[1/2](7400/56608), loss: 1.8712, logits_loss: 1.8672, aux_loss: 0.0040, lr: 0.00000991, epoch_time: 178.0min
